table_id,artikel_id,artikel_titel,medium_id,media_country_id,export_date,Day_Key,fertig,srky_Media,srky_JLRRepTop,Artquell,Spalmil,Farbe,Modul,DPromi,object_TVAnteil,object_DKontakt,Presentations,Tonality_Rescaled,Negative_Presentations,Mixed_Presentations,Positive_Presentations,Factual_Presentations,Negative_Media_Impact,Mixed_Media_Impact,Positive_Media_Impact,Factual_Media_Impact,Tonality_Rescaled_Weighted,OSpalmil,MAN_Exclusivity,PRValue,object_DKontakt2,Negative_Media_Impact2,Mixed_Media_Impact2,Positive_Media_Impact2,Factual_Media_Impact2,Tonality_Rescaled_Weighted2,PRValue2,Seite,internal_source,freeze_quarter,freeze_project,nissan_ignore,volkswagen_ignore,jlr_ignore,ren_weighted_impact,ren_avg,TAnteil,id,srky_CVBrand,from_date,to_date,deleted,last_modified,PRValue2_vwpush,beipromi,modified_id,force_freeze,process_id,artikel_id_pmcd,srky_groupallrna,contentID,jlr_reach,Top3,medialink,object_DKontakt2_VW,srky_media_vwmainpages,srky_porschesegment,abstract,etext,medium_id_vwmainpages,media_country_id_vwmainpages,srky_vwthemen,etext_id,Coder,cod_type,Coding task for Automotive,Coding task for CV,Coding task for Heritage,Coding Task for Tires,Coding task for ZF,"Missing Labels - Products, Manager etc",Missing Commercial Vehicle,Missing Initiator,Missing Journalist,Missing Manager,Missing Tire,Missing Vintage Car,Missing ZF Product,codedThemeId,Top5,Negative_Media_Impact2_old,Mixed_Media_Impact2_old,Positive_Media_Impact2_old,Factual_Media_Impact2_old,Tonality_Rescaled_Weighted2_old,bentleyBenchmark_id,TopN,AVE_Print,etl_CubeRelevant,object_GMKontakt,AVE,partitionCode,srky_volvo_keymsgX,FertigFiltered,HASH_content_id,FordEVMonthly,codedUser,srky_bmwaspect_innodesign,srky_bmwaspect_ecosucc,srky_bmwaspect_bnp,srky_bmwaspect_susresp,Year,Month,Accessoires,allaspectsID,allaspects,AudiDimensionID_new,AudiDimension_new,AudiDimensionID,AudiDimension,Audi-Detailthema,Audi_Detailthema_new,FokusThemenFeld,anlass_grouped,Art,AudiRepFactID,AudiRepFact,Aufbau,grouped,JLR_Div,Blackwood7topicsID,Blackwood7topics,BrandID,Brand,BrandAllID,BrandAll,nissan_benchmark,audi_uk_benchmark,JLR_premium_benckmark,SKODA_benchmark,bentley_benchmark,audi_benchmark,lambo_benchmark,porche_benchmark,seat_benchmark,bugatti_benchmark,audi_usa_benchmark,premium_all,codeTypeId,codeType,CorpBrandID,CorpBrand,CorpGroup,CorporationID,Corporation,CVBranchID,CVBranch,CV_Corporate_Brand_ID,CV_Corporate_Brand,CV_Brand_ID,CV_Brand,CVBrandSmallID,CVBrandSmall,CV Series,Series (Passenger Car),Description,Segment,cvseriesid,cvseries,DimID,Dim,DPlatz,FCARepFact_ID,FCARepFact,FCASafetyEvents_ID,FCASafetyEvents,JLRcorp_PPL,hthemes,CorpTopic,topic,GroupAll,Premium_Group_ALL,hcpmp,GroupAllRna,JLRcorpBizid,JLRcorpBiz,JLRcorpManuid,JLRcorpManu,jlrcorpmsg_ID,jlrcorpmsg,JLRcorpTechid,JLRcorpTech,JLRresponsibleBizid,JLRresponsibleBiz,jlrsample_ID,jlrsample,Enabled_Journalist_Agencies,KuEvent,lamboclassicid,lamboclassic,LATAM_seriesID,LATAM_series,MAN_Brand_Value_ID,MAN_Brand_Value,MAN_Unit_ID,MAN_Unit,excluded,ManagerBrandID,ManagerReputationID,ManagerReputation,productsegment_id,AudiModelCluster,PorschePowerTrainsId,PolestarProdBenchmark,ModuleID,Module,MAN_Neoplan_Brand_Value_ID,MAN_Neoplan_Brand_Value,NFZprod,oldbrandid,oldbrand,oldcorpid,oldcorp,oldprodid,oldprod,AudiAsp,nasprec,LATAM_ProdAspect,VWGroupImage,PolestarAspectID,PolestarAspect,PolestarPure,PolestarProgressive,PolestarPerformance,srky_PorscheSegmentNew,PorscheSegmentNew,ProdBrandID,ProdBrand,ProdGroup,ProductAspectID,ProductAspect,corprepfactID,corprepfact,keymessageID,keymessage,qasprecID,SaleID,Sale,Segmentid,SegmentLabel,ford_benchmark,JLR_Comp,testrankid,testrank,futuremobiityID,futuremobility,futuremobility_group,srky_KeyMessages,KeyMessages_ID,KeyMessages,VWProductAspectID,VWProductAspect,VWProductAspect_DE,VWRepFact_USAID,VWRepFact_USA,VWReputationID,VWReputation,VWReputation_DE,srky_themen,themen_id,themen_label,Zuschrei,bmwaspect_bnp,bmwaspect_ecosucc,bmwaspect_susresp,bmwaspect_innodesign,futuretopicsID,topics,topic_group,inthemesID,inthemes
226499194,20000001200109003,Grüße aus Beirut,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,2520,2,20,30,-9,3446,1,,0,0,0,1,0,0,0,3446,,0.00,,0.0,3446,0,0,0,3446,,0.0,3,0,,,,,,3446,0,-9,115650114,,2020-01-09T12:02:13.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T12:02:13.000+01:00,0.0,30,,,1A660129-6E76-4E5C-9A37-686EDD00CDD9,,57,,,true,,3446,4026112,5,"Page 3 | Carlos Ghosn wäre wohl kein<br/>echter Manga-Held, wenn er immer noch in seinem Haus in Tokio sitzen würde. Als Gefalle",http://prime-intra.net/print/2020/01/09/18/63/1E/16/5E/5E161E6318.PDF,1,101,,7505627,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,1013,0,1,0,0,,0,,1,17,1,1,2020,1,N/A,25300,Legal Issues,2,CSR,2,CSR,Compliance,Compliance,Living Value,Other occasions,N/A,-9,N/A,N/A,N/A,N/A,,,73,Nissan,73,Nissan,Nissan Benchmark,0,Non Premium Automotive Brands,0,0,0,0,0,0,0,0,0,,,73,Nissan,,51,Renault/Nissan,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,5,Environment,-9,N/A,0,N/A,Legal & Ethics,0,Renault-Nissan,JLR Premium Automotive Groups,1,Groupe Renault,-9,,-9,,-9,N/A,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Integrity & Legal Affairs,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,6,Corporate Citizenship,-9,N/A,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,11,Integrity & Legal Affairs,12,Integrity & Legal Affairs,Integrity & Legal Affairs,,,,N/A,NA,EconomicSuccess,NA,NA,-9,N/A,,15,Legal & Ethics
226499228,20000001200109003,Grüße aus Beirut,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,2520,2,20,30,-9,3446,1,,0,0,0,1,0,0,0,3446,,0.00,,0.0,3446,0,0,0,3446,,0.0,3,0,,,,,,3446,0,-9,115650115,,2020-01-09T12:02:13.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T12:02:13.000+01:00,0.0,30,,,1A660129-6E76-4E5C-9A37-686EDD00CDD9,,57,,,true,,3446,4026112,5,"Page 3 | Carlos Ghosn wäre wohl kein<br/>echter Manga-Held, wenn er immer noch in seinem Haus in Tokio sitzen würde. Als Gefalle",http://prime-intra.net/print/2020/01/09/18/63/1E/16/5E/5E161E6318.PDF,1,101,,7505627,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,1013,0,1,0,0,,0,,1,17,1,1,2020,1,N/A,25300,Legal Issues,2,CSR,2,CSR,Compliance,Compliance,Living Value,Other occasions,N/A,-9,N/A,N/A,N/A,N/A,,,73,Nissan,73,Nissan,Nissan Benchmark,0,Non Premium Automotive Brands,0,0,0,0,0,0,0,0,0,,,73,Nissan,,51,Renault/Nissan,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,5,Environment,-9,N/A,0,N/A,Legal & Ethics,0,Renault-Nissan,JLR Premium Automotive Groups,1,Groupe Renault,-9,,-9,,-9,N/A,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Integrity & Legal Affairs,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,6,Corporate Citizenship,-9,N/A,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,11,Integrity & Legal Affairs,12,Integrity & Legal Affairs,Integrity & Legal Affairs,,,,N/A,NA,EconomicSuccess,NA,NA,-9,N/A,,15,Legal & Ethics
226499202,20000001200109003,Grüße aus Beirut,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,2520,2,20,30,-9,3446,1,,0,0,0,1,0,0,0,3446,,0.00,,0.0,3446,0,0,0,3446,,0.0,3,0,,,,,,3446,0,-9,115650510,,2020-01-09T12:02:13.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T12:02:13.000+01:00,0.0,30,,,1A660129-6E76-4E5C-9A37-686EDD00CDD9,,57,,,true,,3446,4026112,5,"Page 3 | Carlos Ghosn wäre wohl kein<br/>echter Manga-Held, wenn er immer noch in seinem Haus in Tokio sitzen würde. Als Gefalle",http://prime-intra.net/print/2020/01/09/18/63/1E/16/5E/5E161E6318.PDF,1,101,,7505627,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,1013,0,1,0,0,,0,,1,1,1,1,2020,1,N/A,23200,Executive Board,5,Management,5,Management,Behaviour Executives,Verhalten der Führungskräfte,Driving Progress,Other occasions,N/A,-9,N/A,N/A,N/A,N/A,,,73,Nissan,73,Nissan,Nissan Benchmark,0,Non Premium Automotive Brands,0,0,0,0,0,0,0,0,0,,,73,Nissan,,51,Renault/Nissan,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,6,Management,-9,N/A,0,N/A,Management,12,Renault-Nissan,JLR Premium Automotive Groups,1,Groupe Renault,1,,-9,,-9,N/A,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Management,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,4,Management,-9,N/A,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,-9,N/A,8,Management,Management,,,,N/A,NA,NA,NA,NA,-9,N/A,,17,Management
226499173,20000001200109003,Grüße aus Beirut,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,2520,2,20,30,-9,3446,1,,0,0,0,1,0,0,0,3446,,0.00,,0.0,3446,0,0,0,3446,,0.0,3,0,,,,,,3446,0,-9,115650062,,2020-01-09T12:02:14.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T12:02:14.000+01:00,0.0,30,,,1A660129-6E76-4E5C-9A37-686EDD00CDD9,,37,,,true,,3446,4026112,5,"Page 3 | Carlos Ghosn wäre wohl kein<br/>echter Manga-Held, wenn er immer noch in seinem Haus in Tokio sitzen würde. Als Gefalle",http://prime-intra.net/print/2020/01/09/18/63/1E/16/5E/5E161E6318.PDF,1,101,,7505627,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,1013,0,1,0,0,,0,,1,1,1,1,2020,1,N/A,23200,Executive Board,5,Management,5,Management,Behaviour Executives,Verhalten der Führungskräfte,Driving Progress,Other occasions,N/A,-9,N/A,N/A,N/A,N/A,,,73,Nissan,51,Renault,Nissan Benchmark,0,Non Premium Automotive Brands,1,0,0,0,0,1,0,0,0,,,51,Renault,,51,Renault/Nissan,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,6,Management,-9,N/A,0,N/A,Management,12,Renault-Nissan,JLR Premium Automotive Groups,1,Groupe Renault,1,,-9,,-9,N/A,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,false,73,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Management,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,4,Management,-9,N/A,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,-9,N/A,8,Management,Management,,,,N/A,NA,NA,NA,NA,-9,N/A,,17,Management
226499193,20000001200109003,Grüße aus Beirut,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,2520,2,20,30,-9,3446,1,,0,0,0,1,0,0,0,3446,,0.00,,0.0,3446,0,0,0,3446,,0.0,3,0,,,,,,3446,0,-9,115650113,,2020-01-09T12:02:13.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T12:02:13.000+01:00,0.0,30,,,1A660129-6E76-4E5C-9A37-686EDD00CDD9,,57,,,true,,3446,4026112,5,"Page 3 | Carlos Ghosn wäre wohl kein<br/>echter Manga-Held, wenn er immer noch in seinem Haus in Tokio sitzen würde. Als Gefalle",http://prime-intra.net/print/2020/01/09/18/63/1E/16/5E/5E161E6318.PDF,1,101,,7505627,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,1013,0,1,0,0,,0,,1,17,1,1,2020,1,N/A,25300,Legal Issues,2,CSR,2,CSR,Compliance,Compliance,Living Value,Other occasions,N/A,-9,N/A,N/A,N/A,N/A,,,73,Nissan,73,Nissan,Nissan Benchmark,0,Non Premium Automotive Brands,0,0,0,0,0,0,0,0,0,,,73,Nissan,,51,Renault/Nissan,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,5,Environment,-9,N/A,0,N/A,Legal & Ethics,0,Renault-Nissan,JLR Premium Automotive Groups,1,Groupe Renault,-9,,-9,,-9,N/A,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Integrity & Legal Affairs,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,6,Corporate Citizenship,-9,N/A,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,11,Integrity & Legal Affairs,12,Integrity & Legal Affairs,Integrity & Legal Affairs,,,,N/A,NA,EconomicSuccess,NA,NA,-9,N/A,,15,Legal & Ethics
226499192,20000001200109003,Grüße aus Beirut,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,2520,2,20,30,-9,3446,1,,0,0,0,1,0,0,0,3446,,0.00,,0.0,3446,0,0,0,3446,,0.0,3,0,,,,,,3446,0,-9,115650112,,2020-01-09T12:02:13.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T12:02:13.000+01:00,0.0,30,,,1A660129-6E76-4E5C-9A37-686EDD00CDD9,,57,,,true,,3446,4026112,5,"Page 3 | Carlos Ghosn wäre wohl kein<br/>echter Manga-Held, wenn er immer noch in seinem Haus in Tokio sitzen würde. Als Gefalle",http://prime-intra.net/print/2020/01/09/18/63/1E/16/5E/5E161E6318.PDF,1,101,,7505627,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,1013,0,1,0,0,,0,,1,17,1,1,2020,1,N/A,25300,Legal Issues,2,CSR,2,CSR,Compliance,Compliance,Living Value,Other occasions,N/A,-9,N/A,N/A,N/A,N/A,,,73,Nissan,73,Nissan,Nissan Benchmark,0,Non Premium Automotive Brands,0,0,0,0,0,0,0,0,0,,,73,Nissan,,51,Renault/Nissan,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,5,Environment,-9,N/A,0,N/A,Legal & Ethics,0,Renault-Nissan,JLR Premium Automotive Groups,1,Groupe Renault,-9,,-9,,-9,N/A,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Integrity & Legal Affairs,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,6,Corporate Citizenship,-9,N/A,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,11,Integrity & Legal Affairs,12,Integrity & Legal Affairs,Integrity & Legal Affairs,,,,N/A,NA,EconomicSuccess,NA,NA,-9,N/A,,15,Legal & Ethics
226490325,20000001200109002,„Kein Mehrwert“,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,440,1,20,30,-9,2654,1,,0,0,0,1,0,0,0,2654,,0.00,,0.0,2654,0,0,0,2654,,0.0,19,0,,,,,,2654,0,-9,115649931,,2020-01-09T11:38:02.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T11:38:02.000+01:00,0.0,30,,,413F8EE8-670D-41CC-8AD7-F54A63E78494,,8,,,true,,2654,4026112,5,"Page 19 | Peking/München – Volkswagen ist ein spezieller Konzern: Ein Bundesgesetz regelt, wer beim größten Autobauer des Landes",http://prime-intra.net/print/2020/01/09/25/F5/1E/16/5E/5E161EF525.PDF,1,101,,7505629,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,780,0,1,0,0,,0,,1,1,1,7,2020,1,N/A,25131,Human rights,1,Arbeitgeberattraktivität,1,Employer Attractiveness,Employer Attractiveness (in general),Arbeitgeberattraktivität (allgemein),Living Value,Other occasions,N/A,6,Human Resources,N/A,N/A,N/A,,,8,Volkswagen,8,Volkswagen,Nissan Benchmark,1,Non Premium Automotive Brands,0,0,1,0,0,0,0,0,0,,,8,Volkswagen,,8,Volkswagen AG,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,-9,N/A,-9,N/A,0,Corporate Social Responsibility,General Social Responsibility,19,VW Group,JLR Premium Automotive Groups,1,VW Group,-9,,-9,,6,CSR,-9,,1,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Integrity & Legal Affairs,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,6,Corporate Citizenship,4,"Renault is a responsible, ethical company with a sustainable approach to business.",-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,11,Integrity & Legal Affairs,12,Integrity & Legal Affairs,Integrity & Legal Affairs,,,,N/A,NA,NA,SustainabilityResponsibility,NA,-9,N/A,,16,General Social Responsibility
226490326,20000001200109002,„Kein Mehrwert“,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,440,1,20,30,-9,2654,1,,0,0,0,1,0,0,0,2654,,0.00,,0.0,2654,0,0,0,2654,,0.0,19,0,,,,,,2654,0,-9,115649928,,2020-01-09T11:38:02.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T11:38:02.000+01:00,0.0,30,,,413F8EE8-670D-41CC-8AD7-F54A63E78494,,8,,,true,,2654,4026112,5,"Page 19 | Peking/München – Volkswagen ist ein spezieller Konzern: Ein Bundesgesetz regelt, wer beim größten Autobauer des Landes",http://prime-intra.net/print/2020/01/09/25/F5/1E/16/5E/5E161EF525.PDF,1,101,,7505629,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,780,0,1,0,0,,0,,1,1,1,7,2020,1,N/A,25131,Human rights,1,Arbeitgeberattraktivität,1,Employer Attractiveness,Employer Attractiveness (in general),Arbeitgeberattraktivität (allgemein),Living Value,Other occasions,N/A,6,Human Resources,N/A,N/A,N/A,,,8,Volkswagen,8,Volkswagen,Nissan Benchmark,1,Non Premium Automotive Brands,0,0,1,0,0,0,0,0,0,,,8,Volkswagen,,8,Volkswagen AG,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,-9,N/A,-9,N/A,0,Corporate Social Responsibility,General Social Responsibility,19,VW Group,JLR Premium Automotive Groups,1,VW Group,-9,,-9,,6,CSR,-9,,1,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Integrity & Legal Affairs,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,6,Corporate Citizenship,4,"Renault is a responsible, ethical company with a sustainable approach to business.",-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,11,Integrity & Legal Affairs,12,Integrity & Legal Affairs,Integrity & Legal Affairs,,,,N/A,NA,NA,SustainabilityResponsibility,NA,-9,N/A,,16,General Social Responsibility
226490327,20000001200109002,„Kein Mehrwert“,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,440,1,20,30,-9,2654,1,,0,0,0,1,0,0,0,2654,,0.00,,0.0,2654,0,0,0,2654,,0.0,19,0,,,,,,2654,0,-9,115649917,,2020-01-09T11:38:02.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T11:38:02.000+01:00,0.0,30,,,413F8EE8-670D-41CC-8AD7-F54A63E78494,,8,,,true,,2654,4026112,5,"Page 19 | Peking/München – Volkswagen ist ein spezieller Konzern: Ein Bundesgesetz regelt, wer beim größten Autobauer des Landes",http://prime-intra.net/print/2020/01/09/25/F5/1E/16/5E/5E161EF525.PDF,1,101,,7505629,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,780,0,1,0,0,,0,,1,16,1,1,2020,1,N/A,22230,Cooperations & Alliances,8,Strategie,8,Strategy,Cooperations,Kooperationen,Driving Progress,Other occasions,N/A,4,Strategy,N/A,N/A,N/A,,,8,Volkswagen,8,Volkswagen,Nissan Benchmark,1,Non Premium Automotive Brands,0,0,1,0,0,0,0,0,0,,,8,Volkswagen,,8,Volkswagen AG,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,2,Corporate Strategy,-9,N/A,0,North American Presence,Strategic Alliances,9,VW Group,JLR Premium Automotive Groups,1,VW Group,-9,,1,,8,Supplier chain comments & Stakeholders,-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Strategy,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,3,Strategy and Vision,2,Innovating for today and the future,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,3,Stakeholder Relations,4,Strategy,Strategie,,,,N/A,NA,EconomicSuccess,NA,NA,-9,N/A,,28,Strategic Alliances
226490345,20000001200109002,„Kein Mehrwert“,1,101,1970-01-01T01:00:00.000+01:00,2020-01-09T01:00:00.000+01:00,18,4026112,,120,440,1,20,30,-9,2654,1,,0,0,0,1,0,0,0,2654,,0.00,,0.0,2654,0,0,0,2654,,0.0,19,0,,,,,,2654,0,-9,115649908,,2020-01-09T11:38:02.000+01:00,2020-01-10T03:40:09.000+01:00,,2020-01-09T11:38:02.000+01:00,0.0,30,,,413F8EE8-670D-41CC-8AD7-F54A63E78494,,8,,,true,,2654,4026112,5,"Page 19 | Peking/München – Volkswagen ist ein spezieller Konzern: Ein Bundesgesetz regelt, wer beim größten Autobauer des Landes",http://prime-intra.net/print/2020/01/09/25/F5/1E/16/5E/5E161EF525.PDF,1,101,,7505629,5442,,,,,,,,,,,,,,,,true,,,,,,0,,,true,780,0,1,0,0,,0,,1,15,1,1,2020,1,N/A,21121,"Production, Manufacture",8,Strategie,6,Strategy,Location Strategy,Standortstrategie,Driving Progress,Other occasions,N/A,2,Production,N/A,N/A,N/A,,,8,Volkswagen,8,Volkswagen,Nissan Benchmark,1,Non Premium Automotive Brands,0,0,1,0,0,0,0,0,0,,,8,Volkswagen,,8,Volkswagen AG,-9,N/A,-9,N/A,-9,N/A,-9,N/A,-9,-9,N/A,N/A,-9,N/A,-9,N/A,text,3,Corporate Structure,-9,N/A,0,Manufacturing,Logistics & Production,5,VW Group,JLR Premium Automotive Groups,1,VW Group,-9,,1,,3,Manufacturing (international & UK),-9,,-9,,,,,N/A,-9,N/A,-9,N/A,-9,N/A,-9,N/A,true,,-9,N/A,-9,not defined,-9,0,20,Corporate,-9,N/A,N/A,-9,N/A,-9,N/A,-9,N/A,N/A,N/A,N/A,Production,-9,N/A,false,false,false,,,-9,N/A,,-9,N/A,1,Company Structure,1,Renault is a successful global company with momentum.,-9,-9,N/A,,,,N/A,-9,N/A,,,,,,,9,Other,Andere,2,Production,2,Production,Produktion & Qualität,,,,N/A,NA,EconomicSuccess,NA,NA,-9,N/A,,22,Logistics & Production
